Year,LGA,Regional or Metro,Accidents,Fatailities
2020,YARRIAMBIACK,REGIONAL,9,3
2020,YARRA RANGES,METRO,194,6
2020,YARRA,METRO,122,1
2020,WYNDHAM,METRO,195,1
2020,WODONGA,REGIONAL,17,2
2020,WHITTLESEA,METRO,161,2
2020,WHITEHORSE,METRO,106,1
2020,WEST WIMMERA,REGIONAL,10,3
2020,WELLINGTON,REGIONAL,52,2
2020,WARRNAMBOOL,REGIONAL,26,2
2020,WANGARATTA,REGIONAL,32,3
2020,TOWONG,REGIONAL,11,4
2020,SWAN HILL,REGIONAL,26,5
2020,SURF COAST,REGIONAL,44,4
2020,STRATHBOGIE,REGIONAL,15,1
2020,STONNINGTON,METRO,106,0
2020,SOUTHERN GRAMPIANS,REGIONAL,17,1
2020,SOUTH GIPPSLAND,REGIONAL,49,6
2020,SHEPPARTON,REGIONAL,60,5
2020,QUEENSCLIFFE,REGIONAL,1,0
2020,PYRENEES,REGIONAL,12,0
2020,PORT PHILLIP,METRO,107,1
2020,NORTHERN GRAMPIANS,REGIONAL,14,4
2020,NILLUMBIK,METRO,63,2
2020,MURRINDINDI,REGIONAL,45,3
2020,MOYNE,REGIONAL,16,2
2020,MOUNT ALEXANDER,REGIONAL,19,2
2020,MORNINGTON PENINSULA,METRO,152,8
2020,MORELAND,METRO,157,0
2020,MOORABOOL,REGIONAL,47,2
2020,MOONEE VALLEY,METRO,100,0
2020,MONASH,METRO,173,5
2020,MOIRA,REGIONAL,26,3
2020,MITCHELL,REGIONAL,59,3
2020,MILDURA,REGIONAL,50,2
2020,MELTON,METRO,135,1
2020,MELBOURNE,METRO,265,0
2020,MAROONDAH,METRO,89,1
2020,MARIBYRNONG,METRO,90,1
2020,MANSFIELD,REGIONAL,26,1
2020,MANNINGHAM,METRO,53,0
2020,MACEDON RANGES,REGIONAL,40,3
2020,LODDON,REGIONAL,16,2
2020,LATROBE,REGIONAL,74,5
2020,KNOX,METRO,103,3
2020,KINGSTON,METRO,145,2
2020,INDIGO,REGIONAL,24,2
2020,HUME,METRO,198,1
2020,HORSHAM,REGIONAL,22,2
2020,HOBSONS BAY,METRO,93,1
2020,HINDMARSH,REGIONAL,8,0
2020,HEPBURN,REGIONAL,20,3
2020,GOLDEN PLAINS,REGIONAL,33,0
2020,GLENELG,REGIONAL,21,0
2020,GLEN EIRA,METRO,140,1
2020,GEELONG,REGIONAL,246,7
2020,GANNAWARRA,REGIONAL,9,0
2020,FRANKSTON,METRO,111,6
2020,EAST GIPPSLAND,REGIONAL,62,6
2020,DAREBIN,METRO,158,5
2020,DANDENONG,METRO,208,2
2020,CORANGAMITE,REGIONAL,15,7
2020,COLAC OTWAY,REGIONAL,38,1
2020,CENTRAL GOLDFIELDS,REGIONAL,12,2
2020,CASEY,METRO,274,4
2020,CARDINIA,METRO,128,2
2020,CAMPASPE,REGIONAL,37,3
2020,BULOKE,REGIONAL,2,2
2020,BRIMBANK,METRO,173,0
2020,BOROONDARA,METRO,117,5
2020,BENDIGO,REGIONAL,120,8
2020,BENALLA,REGIONAL,13,0
2020,BAYSIDE,METRO,98,1
2020,BAW BAW,REGIONAL,66,0
2020,BASS COAST,REGIONAL,33,2
2020,BANYULE,METRO,76,1
2020,BALLARAT,REGIONAL,112,5
2020,ARARAT,REGIONAL,15,0
2020,ALPINE,REGIONAL,22,1
2020,(MOUNT HOTHAM),REGIONAL,2,0
2020,(MOUNT BULLER),REGIONAL,1,0
2020,(LAKE MOUNTAIN),REGIONAL,1,0
2019,YARRIAMBIACK,REGIONAL,7,1
2019,YARRA RANGES,METRO,362,9
2019,YARRA,METRO,330,1
2019,WYNDHAM,METRO,397,8
2019,WODONGA,REGIONAL,67,1
2019,WHITTLESEA,METRO,430,3
2019,WHITEHORSE,METRO,319,1
2019,WEST WIMMERA,REGIONAL,11,3
2019,WELLINGTON,REGIONAL,127,2
2019,WARRNAMBOOL,REGIONAL,51,1
2019,WANGARATTA,REGIONAL,75,0
2019,TOWONG,REGIONAL,38,4
2019,SWAN HILL,REGIONAL,30,3
2019,SURF COAST,REGIONAL,87,0
2019,STRATHBOGIE,REGIONAL,39,1
2019,STONNINGTON,METRO,286,1
2019,SOUTHERN GRAMPIANS,REGIONAL,35,2
2019,SOUTH GIPPSLAND,REGIONAL,73,5
2019,SHEPPARTON,REGIONAL,147,7
2019,QUEENSCLIFFE,REGIONAL,6,0
2019,PYRENEES,REGIONAL,32,2
2019,PORT PHILLIP,METRO,253,1
2019,NORTHERN GRAMPIANS,REGIONAL,34,1
2019,NILLUMBIK,METRO,139,1
2019,MURRINDINDI,REGIONAL,105,4
2019,MOYNE,REGIONAL,68,1
2019,MOUNT ALEXANDER,REGIONAL,38,2
2019,MORNINGTON PENINSULA,METRO,291,12
2019,MORELAND,METRO,387,3
2019,MOORABOOL,REGIONAL,94,7
2019,MOONEE VALLEY,METRO,243,0
2019,MONASH,METRO,486,9
2019,MOIRA,REGIONAL,68,4
2019,MITCHELL,REGIONAL,128,2
2019,MILDURA,REGIONAL,100,7
2019,MELTON,METRO,267,4
2019,MELBOURNE,METRO,750,2
2019,MAROONDAH,METRO,207,4
2019,MARIBYRNONG,METRO,205,2
2019,MANSFIELD,REGIONAL,41,1
2019,MANNINGHAM,METRO,188,2
2019,MACEDON RANGES,REGIONAL,99,7
2019,LODDON,REGIONAL,29,4
2019,LATROBE,REGIONAL,159,4
2019,KNOX,METRO,265,1
2019,KINGSTON,METRO,322,6
2019,INDIGO,REGIONAL,36,2
2019,HUME,METRO,511,9
2019,HORSHAM,REGIONAL,46,4
2019,HOBSONS BAY,METRO,215,0
2019,HINDMARSH,REGIONAL,13,0
2019,HEPBURN,REGIONAL,37,4
2019,GOLDEN PLAINS,REGIONAL,67,5
2019,GLENELG,REGIONAL,57,3
2019,GLEN EIRA,METRO,239,3
2019,GEELONG,REGIONAL,554,13
2019,GANNAWARRA,REGIONAL,22,1
2019,FRANKSTON,METRO,243,6
2019,EAST GIPPSLAND,REGIONAL,90,2
2019,DAREBIN,METRO,405,2
2019,DANDENONG,METRO,483,4
2019,CORANGAMITE,REGIONAL,49,4
2019,COLAC OTWAY,REGIONAL,86,3
2019,CENTRAL GOLDFIELDS,REGIONAL,32,2
2019,CASEY,METRO,649,6
2019,CARDINIA,METRO,244,3
2019,CAMPASPE,REGIONAL,90,3
2019,BULOKE,REGIONAL,14,2
2019,BRIMBANK,METRO,443,10
2019,BOROONDARA,METRO,317,3
2019,BENDIGO,REGIONAL,263,8
2019,BENALLA,REGIONAL,48,0
2019,BAYSIDE,METRO,166,0
2019,BAW BAW,REGIONAL,159,4
2019,BASS COAST,REGIONAL,83,3
2019,BANYULE,METRO,213,1
2019,BALLARAT,REGIONAL,272,2
2019,ARARAT,REGIONAL,30,3
2019,ALPINE,REGIONAL,60,2
2019,(MOUNT HOTHAM),REGIONAL,2,0
2019,(MOUNT BULLER),REGIONAL,3,0
2019,(MOUNT BAW BAW),REGIONAL,1,0
2019,(LAKE MOUNTAIN),REGIONAL,1,0
2019,(FALLS CREEK),REGIONAL,2,0
2018,YARRIAMBIACK,REGIONAL,9,0
2018,YARRA RANGES,METRO,321,6
2018,YARRA,METRO,316,1
2018,WYNDHAM,METRO,305,4
2018,WODONGA,REGIONAL,51,0
2018,WHITTLESEA,METRO,392,3
2018,WHITEHORSE,METRO,274,1
2018,WEST WIMMERA,REGIONAL,12,0
2018,WELLINGTON,REGIONAL,127,3
2018,WARRNAMBOOL,REGIONAL,53,2
2018,WANGARATTA,REGIONAL,80,2
2018,TOWONG,REGIONAL,33,0
2018,SWAN HILL,REGIONAL,34,1
2018,SURF COAST,REGIONAL,86,2
2018,STRATHBOGIE,REGIONAL,42,1
2018,STONNINGTON,METRO,242,4
2018,SOUTHERN GRAMPIANS,REGIONAL,33,1
2018,SOUTH GIPPSLAND,REGIONAL,84,7
2018,SHEPPARTON,REGIONAL,159,4
2018,QUEENSCLIFFE,REGIONAL,1,0
2018,PYRENEES,REGIONAL,25,1
2018,PORT PHILLIP,METRO,248,0
2018,NORTHERN GRAMPIANS,REGIONAL,39,7
2018,NILLUMBIK,METRO,117,3
2018,MURRINDINDI,REGIONAL,74,4
2018,MOYNE,REGIONAL,50,1
2018,MOUNT ALEXANDER,REGIONAL,35,3
2018,MORNINGTON PENINSULA,METRO,246,2
2018,MORELAND,METRO,401,3
2018,MOORABOOL,REGIONAL,92,0
2018,MOONEE VALLEY,METRO,208,4
2018,MONASH,METRO,374,4
2018,MOIRA,REGIONAL,64,3
2018,MITCHELL,REGIONAL,136,1
2018,MILDURA,REGIONAL,92,2
2018,MELTON,METRO,216,6
2018,MELBOURNE,METRO,709,2
2018,MAROONDAH,METRO,184,3
2018,MARIBYRNONG,METRO,166,3
2018,MANSFIELD,REGIONAL,49,1
2018,MANNINGHAM,METRO,193,3
2018,MACEDON RANGES,REGIONAL,89,1
2018,LODDON,REGIONAL,16,1
2018,LATROBE,REGIONAL,144,4
2018,KNOX,METRO,242,7
2018,KINGSTON,METRO,307,3
2018,INDIGO,REGIONAL,34,3
2018,HUME,METRO,459,8
2018,HORSHAM,REGIONAL,39,2
2018,HOBSONS BAY,METRO,173,2
2018,HINDMARSH,REGIONAL,13,0
2018,HEPBURN,REGIONAL,50,4
2018,GOLDEN PLAINS,REGIONAL,58,2
2018,GLENELG,REGIONAL,46,3
2018,GLEN EIRA,METRO,259,0
2018,GEELONG,REGIONAL,554,5
2018,GANNAWARRA,REGIONAL,35,3
2018,FRANKSTON,METRO,230,3
2018,EAST GIPPSLAND,REGIONAL,123,5
2018,DAREBIN,METRO,324,1
2018,DANDENONG,METRO,406,2
2018,CORANGAMITE,REGIONAL,42,1
2018,COLAC OTWAY,REGIONAL,101,4
2018,CENTRAL GOLDFIELDS,REGIONAL,25,0
2018,CASEY,METRO,559,4
2018,CARDINIA,METRO,193,7
2018,CAMPASPE,REGIONAL,75,2
2018,BULOKE,REGIONAL,14,0
2018,BRIMBANK,METRO,395,6
2018,BOROONDARA,METRO,287,4
2018,BENDIGO,REGIONAL,211,6
2018,BENALLA,REGIONAL,32,3
2018,BAYSIDE,METRO,134,2
2018,BAW BAW,REGIONAL,137,4
2018,BASS COAST,REGIONAL,73,0
2018,BANYULE,METRO,208,2
2018,BALLARAT,REGIONAL,247,3
2018,ARARAT,REGIONAL,26,1
2018,ALPINE,REGIONAL,43,4
2018,(MOUNT HOTHAM),REGIONAL,3,0
2018,(MOUNT BULLER),REGIONAL,3,1
2018,(LAKE MOUNTAIN),REGIONAL,3,0
2018,(FALLS CREEK),REGIONAL,4,0
2017,YARRIAMBIACK,REGIONAL,10,1
2017,YARRA RANGES,METRO,398,7
2017,YARRA,METRO,323,1
2017,WYNDHAM,METRO,303,6
2017,WODONGA,REGIONAL,55,1
2017,WHITTLESEA,METRO,374,3
2017,WHITEHORSE,METRO,276,3
2017,WEST WIMMERA,REGIONAL,12,0
2017,WELLINGTON,REGIONAL,129,6
2017,WARRNAMBOOL,REGIONAL,68,0
2017,WANGARATTA,REGIONAL,69,4
2017,TOWONG,REGIONAL,24,2
2017,SWAN HILL,REGIONAL,35,2
2017,SURF COAST,REGIONAL,69,2
2017,STRATHBOGIE,REGIONAL,44,4
2017,STONNINGTON,METRO,273,1
2017,SOUTHERN GRAMPIANS,REGIONAL,37,3
2017,SOUTH GIPPSLAND,REGIONAL,79,3
2017,SHEPPARTON,REGIONAL,168,8
2017,QUEENSCLIFFE,REGIONAL,4,0
2017,PYRENEES,REGIONAL,26,6
2017,PORT PHILLIP,METRO,261,2
2017,NORTHERN GRAMPIANS,REGIONAL,38,2
2017,NILLUMBIK,METRO,119,0
2017,MURRINDINDI,REGIONAL,104,5
2017,MOYNE,REGIONAL,49,2
2017,MOUNT ALEXANDER,REGIONAL,36,2
2017,MORNINGTON PENINSULA,METRO,251,4
2017,MORELAND,METRO,377,0
2017,MOORABOOL,REGIONAL,75,6
2017,MOONEE VALLEY,METRO,181,1
2017,MONASH,METRO,385,6
2017,MOIRA,REGIONAL,70,8
2017,MITCHELL,REGIONAL,134,5
2017,MILDURA,REGIONAL,123,1
2017,MELTON,METRO,227,4
2017,MELBOURNE,METRO,749,4
2017,MAROONDAH,METRO,214,1
2017,MARIBYRNONG,METRO,183,6
2017,MANSFIELD,REGIONAL,38,2
2017,MANNINGHAM,METRO,191,2
2017,MACEDON RANGES,REGIONAL,102,4
2017,LODDON,REGIONAL,31,1
2017,LATROBE,REGIONAL,142,5
2017,KNOX,METRO,290,1
2017,KINGSTON,METRO,337,5
2017,INDIGO,REGIONAL,46,1
2017,HUME,METRO,422,1
2017,HORSHAM,REGIONAL,35,1
2017,HOBSONS BAY,METRO,172,1
2017,HINDMARSH,REGIONAL,10,0
2017,HEPBURN,REGIONAL,47,2
2017,GOLDEN PLAINS,REGIONAL,72,6
2017,GLENELG,REGIONAL,39,3
2017,GLEN EIRA,METRO,273,1
2017,GEELONG,REGIONAL,578,7
2017,GANNAWARRA,REGIONAL,22,3
2017,FRANKSTON,METRO,240,4
2017,EAST GIPPSLAND,REGIONAL,136,9
2017,DAREBIN,METRO,297,4
2017,DANDENONG,METRO,441,8
2017,CORANGAMITE,REGIONAL,57,3
2017,COLAC OTWAY,REGIONAL,113,5
2017,CENTRAL GOLDFIELDS,REGIONAL,26,1
2017,CASEY,METRO,548,8
2017,CARDINIA,METRO,203,6
2017,CAMPASPE,REGIONAL,99,6
2017,BULOKE,REGIONAL,17,2
2017,BRIMBANK,METRO,383,4
2017,BOROONDARA,METRO,305,1
2017,BENDIGO,REGIONAL,264,6
2017,BENALLA,REGIONAL,44,5
2017,BAYSIDE,METRO,187,5
2017,BAW BAW,REGIONAL,160,2
2017,BASS COAST,REGIONAL,77,3
2017,BANYULE,METRO,204,3
2017,BALLARAT,REGIONAL,269,4
2017,ARARAT,REGIONAL,34,1
2017,ALPINE,REGIONAL,44,0
2017,(MOUNT STIRLING),REGIONAL,1,0
2017,(MOUNT HOTHAM),REGIONAL,5,0
2017,(MOUNT BULLER),REGIONAL,1,0
2017,(LAKE MOUNTAIN),REGIONAL,2,0
2017,(FRENCH ISLAND),REGIONAL,1,1
2017,(FALLS CREEK),REGIONAL,2,0
2016,YARRIAMBIACK,REGIONAL,11,2
2016,YARRA RANGES,METRO,448,7
2016,YARRA,METRO,391,3
2016,WYNDHAM,METRO,319,10
2016,WODONGA,REGIONAL,71,4
2016,WHITTLESEA,METRO,470,6
2016,WHITEHORSE,METRO,317,5
2016,WEST WIMMERA,REGIONAL,15,1
2016,WELLINGTON,REGIONAL,137,5
2016,WARRNAMBOOL,REGIONAL,76,1
2016,WANGARATTA,REGIONAL,85,5
2016,TOWONG,REGIONAL,38,1
2016,SWAN HILL,REGIONAL,59,3
2016,SURF COAST,REGIONAL,101,3
2016,STRATHBOGIE,REGIONAL,45,1
2016,STONNINGTON,METRO,320,0
2016,SOUTHERN GRAMPIANS,REGIONAL,32,3
2016,SOUTH GIPPSLAND,REGIONAL,129,3
2016,SHEPPARTON,REGIONAL,218,8
2016,QUEENSCLIFFE,REGIONAL,2,0
2016,PYRENEES,REGIONAL,33,0
2016,PORT PHILLIP,METRO,297,0
2016,NORTHERN GRAMPIANS,REGIONAL,42,2
2016,NILLUMBIK,METRO,144,4
2016,MURRINDINDI,REGIONAL,133,5
2016,MOYNE,REGIONAL,46,1
2016,MOUNT ALEXANDER,REGIONAL,48,0
2016,MORNINGTON PENINSULA,METRO,336,10
2016,MORELAND,METRO,430,6
2016,MOORABOOL,REGIONAL,109,6
2016,MOONEE VALLEY,METRO,274,4
2016,MONASH,METRO,466,6
2016,MOIRA,REGIONAL,79,4
2016,MITCHELL,REGIONAL,172,4
2016,MILDURA,REGIONAL,147,3
2016,MELTON,METRO,259,3
2016,MELBOURNE,METRO,826,4
2016,MAROONDAH,METRO,256,2
2016,MARIBYRNONG,METRO,225,1
2016,MANSFIELD,REGIONAL,66,4
2016,MANNINGHAM,METRO,193,4
2016,MACEDON RANGES,REGIONAL,132,1
2016,LODDON,REGIONAL,25,2
2016,LATROBE,REGIONAL,202,5
2016,KNOX,METRO,336,6
2016,KINGSTON,METRO,353,4
2016,INDIGO,REGIONAL,56,7
2016,HUME,METRO,541,4
2016,HORSHAM,REGIONAL,44,3
2016,HOBSONS BAY,METRO,208,2
2016,HINDMARSH,REGIONAL,14,0
2016,HEPBURN,REGIONAL,57,7
2016,GOLDEN PLAINS,REGIONAL,76,1
2016,GLENELG,REGIONAL,42,3
2016,GLEN EIRA,METRO,310,5
2016,GEELONG,REGIONAL,605,11
2016,GANNAWARRA,REGIONAL,20,0
2016,FRANKSTON,METRO,272,3
2016,EAST GIPPSLAND,REGIONAL,164,5
2016,DAREBIN,METRO,385,2
2016,DANDENONG,METRO,574,1
2016,CORANGAMITE,REGIONAL,60,3
2016,COLAC OTWAY,REGIONAL,101,3
2016,CENTRAL GOLDFIELDS,REGIONAL,28,3
2016,CASEY,METRO,695,10
2016,CARDINIA,METRO,252,7
2016,CAMPASPE,REGIONAL,98,2
2016,BULOKE,REGIONAL,21,1
2016,BRIMBANK,METRO,488,15
2016,BOROONDARA,METRO,319,4
2016,BENDIGO,REGIONAL,320,5
2016,BENALLA,REGIONAL,49,0
2016,BAYSIDE,METRO,205,1
2016,BAW BAW,REGIONAL,211,5
2016,BASS COAST,REGIONAL,109,3
2016,BANYULE,METRO,238,2
2016,BALLARAT,REGIONAL,273,7
2016,ARARAT,REGIONAL,34,3
2016,ALPINE,REGIONAL,48,0
2016,(MOUNT HOTHAM),REGIONAL,4,0
2016,(MOUNT BULLER),REGIONAL,2,0
2016,(MOUNT BAW BAW),REGIONAL,2,0
2016,(LAKE MOUNTAIN),REGIONAL,4,0
2016,(FALLS CREEK),REGIONAL,1,0
